Name	Frequency [meV]	ZPR	Reference_Alpha	Reference_ZPR
mp-1000	1.4431879177450229e-5	-29.808365897538543	1.726851	-29.124171
mp-1002124	6.656264364371662e-7	-11.136764260496362	0.139134	-11.117524
mp-1002164	4.470006423386601e-7	-28.186202055527186	0.291462	-28.083588
mp-10044	5.615038897804586e-7	-0.7179213029200887	0.008339	-0.717847
mp-1008223	4.0178159904052465e-6	-43.22579996970639	1.317878	-42.482682
mp-1008506	3.203553878460551e-8	-7.768119655745595	0.162606	-7.755427
mp-1008556	3.586708906584976e-8	-60.535483777977085	0.61931	-59.854204
mp-1008559	1.0452468185439857e-7	-1.3850755863471622	0.013762	-1.384843
mp-10086	4.327500417729598e-8	-60.97510319756738	1.3079420000000002	-59.410185999999996
mp-1008680	1.2115056075203324e-6	-6.388012686593491	0.20101200000000002	-6.3707329999999995
mp-1008786	4.375782786982442e-6	-25.20173043328189	0.809846	-24.941314
mp-1009009	8.171272265067141e-7	-647.5213949510239	7.65369	-543.144259
mp-1009082	7.978626547393891e-8	-1.6287233734728004	0.05504	-1.6271520000000002
mp-1009084	4.139388955555238e-8	-3.271602474584883	0.11626799999999998	-3.267452
mp-1243	-961.2883026383398	-97.93966590086366	1.248987	-95.18647899999999
mp-12442	-595.6307318294694	-1515.848428276657	39.65885100000001	-724.5898569999999
mp-12444	-378.0545046687155	-49.935217851195894	1.372376	-48.54983
